StoreID,Demand_Pallets,Cluster
Store-073,83.46843987468074,0
Store-058,83.42668307267508,0
Store-026,81.64630670517978,0
Store-158,79.42175408206577,0
Store-122,78.05622220354734,0
Store-010,76.27878297802242,0
Store-156,75.97844559739667,0
Store-087,73.63256106973986,0
Store-109,72.25387393531157,0
Store-053,71.74213093152662,0
Store-072,66.82198288848909,0
Store-117,65.83984034168296,0
Store-096,65.42862271930348,0
Store-085,63.386026956674726,0
Store-039,62.67460539629265,0
Store-193,61.20158456038298,0
Store-132,59.15325940268149,0
Store-017,58.822736524639446,0
Store-098,58.22232502493937,0
Store-049,56.292419646014395,0
Store-183,55.19400017268434,0
Store-082,43.5093220403966,0
Store-014,40.8310135797862,0
Store-118,39.84238814519932,0
Store-107,39.50074396009706,0
Store-175,39.0183986996697,0
Store-176,36.732203006120095,0
Store-070,36.55098691306613,0
Store-086,34.17659377587426,0
